"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"medical_condition_7_4","haven_labelled",829,1435,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_1","haven_labelled",17,2247,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_2","haven_labelled",101,2163,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_3","haven_labelled",194,2070,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_4","haven_labelled",1985,279,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_1","haven_labelled",122,2142,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_2","haven_labelled",460,1804,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_3","haven_labelled",572,1692,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_4","haven_labelled",1385,879,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_1","haven_labelled",231,2033,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_2","haven_labelled",211,2053,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_3","haven_labelled",183,2081,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_4","haven_labelled",1791,473,1,0,1,1,1,1,1,1,"1"
"q1_1","haven_labelled",2000,264,3.9745,0.232113524690338,1,4,4,4,4,4,"4"
"pswq_1","haven_labelled",2264,0,2.54196113074205,1.13980983377565,1,2,2,3,5,5,"2"
"pswq_2","haven_labelled",2264,0,2.94611307420495,1.26362233401768,1,2,3,4,5,5,"3"
"pswq_3","haven_labelled",2264,0,2.31404593639576,1.19870922979564,1,1,2,3,5,5,"1"
"pswq_4","haven_labelled",2264,0,3.04328621908127,1.25208759844874,1,2,3,4,5,5,"3"
"pswq_5","haven_labelled",2264,0,3.10998233215548,1.31203585725289,1,2,3,4,5,5,"4"
"pswq_6","haven_labelled",2264,0,3.28180212014134,1.25744978391135,1,2,3,4,5,5,"4"
"pswq_7","haven_labelled",2264,0,2.89399293286219,1.33125159212706,1,2,3,4,5,5,"3"
"pswq_8","haven_labelled",2264,0,2.55123674911661,1.21597420016152,1,2,2,3,5,5,"2"
"pswq_9","haven_labelled",2264,0,2.81492932862191,1.26047627383249,1,2,3,4,5,5,"3"
"pswq_10","haven_labelled",2264,0,1.77473498233216,1.07539772436619,1,1,1,2,5,5,"1"
"pswq_11","haven_labelled",2263,1,2.67211665930181,1.24403271703837,1,2,3,4,5,5,"2"
"pswq_12","haven_labelled",2263,1,2.93062306672559,1.43717656900065,1,2,3,4,5,5,"1"
"pswq_13","haven_labelled",2263,1,3.12284577993814,1.29404691383184,1,2,3,4,5,5,"4"
"pswq_14","haven_labelled",2263,1,2.7114449845338,1.31585139253031,1,2,3,4,5,5,"3"
"pswq_15","haven_labelled",2264,0,2.66121908127208,1.34784406421793,1,1,3,4,5,5,"1"
"pswq_16","haven_labelled",2264,0,3.20185512367491,1.24979047443795,1,2,3,4,5,5,"3"
"pswq_1r","numeric",2264,0,3.45803886925795,1.13980983377565,1,3,4,4,5,5,"4"
"pswq_3r","numeric",2264,0,3.68595406360424,1.19870922979564,1,3,4,5,5,5,"5"
"pswq_8r","numeric",2264,0,3.44876325088339,1.21597420016152,1,3,4,4,5,5,"4"
"pswq_10r","numeric",2264,0,4.22526501766784,1.07539772436619,1,4,5,5,5,5,"5"
"pswq_11r","numeric",2263,1,3.32788334069819,1.24403271703837,1,2,3,4,5,5,"4"
"miss_items_pswq","numeric",2264,0,0.00176678445229682,0.0514609061499343,0,0,0,0,2,3,"0"
"pswq_final","numeric",2261,3,50.8628925254312,15.5145306809153,16,39,51,63,80,65,"49"
"q2","haven_labelled",2000,264,2.9995,0.120445022735482,1,3,3,3,5,4,"3"
"hai1","haven_labelled",2264,0,1.51015901060071,0.80315505303807,0,1,1,2,3,4,"1"
"hai2","haven_labelled",2264,0,1.06757950530035,0.834693043642506,0,1,1,1,3,4,"1"
"hai3","haven_labelled",2264,0,1.82067137809187,0.777839496109604,0,1,2,2,3,4,"2"
"hai4","haven_labelled",2264,0,1.04151943462898,0.719065890453963,0,1,1,1,3,4,"1"
"hai5","haven_labelled",2264,0,1.17888692579505,0.902823869335776,0,1,1,2,3,4,"1"
"hai6","haven_labelled",2264,0,0.539310954063604,0.709913802653305,0,0,0,1,3,4,"0"
"hai7","haven_labelled",2264,0,0.72482332155477,0.771671699214928,0,0,1,1,3,4,"0"
"hai8","haven_labelled",2264,0,0.646201413427562,0.787554354514555,0,0,0,1,3,4,"0"
