"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"research_type_6","matrix",2000,0,2.76482938106615e-17,1,-0.894304158546073,-0.894304158546073,-0.894304158546073,1.11762870657445,1.11762870657445,2,"-0.894304158546073"
"research_type_7","matrix",2000,0,5.94396493830418e-17,1,-0.746561171341315,-0.746561171341315,-0.746561171341315,1.33880522905342,1.33880522905342,2,"-0.746561171341315"
"research_type_8","matrix",2000,0,2.99096413868688e-17,1,-0.566430455599258,-0.566430455599258,-0.566430455599258,-0.566430455599258,1.7645590736158,2,"-0.566430455599258"
"research_type_9","haven_labelled",2000,0,0.3315,0.470870055646621,0,0,0,1,1,2,"0"
"research_type_10","haven_labelled",2000,0,0.239,0.426579400572152,0,0,0,0,1,2,"0"
"research_type_9updated","matrix",2000,0,5.93870655776763e-17,1,-0.746561171341315,-0.746561171341315,-0.746561171341315,1.33880522905342,1.33880522905342,2,"-0.746561171341315"
"research_type_10updated","matrix",2000,0,-8.84704364888939e-17,1,-0.594910995658666,-0.594910995658666,-0.594910995658666,1.68008325160201,1.68008325160201,2,"-0.594910995658666"
"research_type_11","matrix",2000,0,4.00599692307324e-17,1,-0.656048669641577,-0.656048669641577,-0.656048669641577,1.52351501687529,1.52351501687529,2,"-0.656048669641577"
"research_type_12","matrix",2000,0,5.4266703977679e-17,1,-0.941461128567597,-0.941461128567597,-0.941461128567597,1.06164765561878,1.06164765561878,2,"-0.941461128567597"
"research_type_13","matrix",2000,0,1.13288420528282e-16,1,-0.728785202486261,-0.728785202486261,-0.728785202486261,1.37146033781997,1.37146033781997,2,"-0.728785202486261"
"comp_importance","matrix",2000,0,4.29147291162481e-16,1,-3.59803214697287,-0.329075017681952,0.760577358748353,0.760577358748353,0.760577358748353,5,"0.760577358748353"
"comp_type_1","matrix",1996,4,1.60601276271017e-16,1,-0.209074623955652,-0.209074623955652,-0.209074623955652,-0.209074623955652,8.39531608564189,5,"-0.209074623955652"
"comp_type_2","matrix",1996,4,3.52449601361166e-16,1,-1.90221717334145,-0.310256805211666,-0.310256805211666,-0.310256805211666,4.46562429917769,5,"-0.310256805211666"
"comp_type_3","matrix",1996,4,-1.04943817497094e-18,1,-2.97816425256966,-0.582671265211595,-0.582671265211595,0.61507522846744,1.81282172214648,5,"-0.582671265211595"
"comp_type_4","matrix",1996,4,-7.69653449067759e-17,1,-3.53756358877891,-0.279653596529124,0.806316400887473,0.806316400887473,0.806316400887473,5,"0.806316400887473"
"comp_type_5","matrix",1996,4,-2.3940596255879e-16,1,-3.25377287933709,-1.05819117982498,0.0395996699310799,1.13739051968714,1.13739051968714,5,"0.0395996699310799"
"select_reasonsaliva","matrix",1337,663,1.45527989434741e-17,1,-0.701626306517356,-0.701626306517356,-0.207122156905493,-0.207122156905493,3.25440689037755,7,"-0.207122156905493"
"select_reasonsaliva_9_text","character",2000,0,NA,NA,NA,NA,NA,NA,NA,51,""
"select_reasonblood","matrix",1522,478,-8.44751278687631e-17,1,-0.735030612991792,-0.735030612991792,-0.223032172271651,0.288966268448489,3.36095691276933,7,"-0.223032172271651"
"select_reasonblood_9_text","character",2000,0,NA,NA,NA,NA,NA,NA,NA,63,""
"more_info","matrix",1554,446,6.65831298647687e-17,1,-1.54089400573503,-0.47712266636931,0.586648672996412,0.586648672996412,1.65042001236213,4,"0.586648672996412"
"more_info_updated","matrix",1514,486,-1.4012417932271e-16,1,-1.5211923837528,-0.45197916694605,0.617234049860699,0.617234049860699,1.68644726666745,4,"0.617234049860699"
"more_compensation","matrix",1554,446,6.37058777673877e-17,1,-1.71323605650112,-0.679707783285772,0.35382048992958,0.35382048992958,1.38734876314493,4,"0.35382048992958"
"more_compensation_updated","matrix",1514,486,5.2445594652674e-18,1,-1.69314607486009,-0.657000902128411,0.37914427060327,0.37914427060327,1.41528944333495,4,"0.37914427060327"
"hormone_reasoning","matrix",1351,649,-1.2413625338819e-16,1,-0.645809366387505,-0.645809366387505,-0.645809366387505,0.658358726272464,3.2666949115924,4,"-0.645809366387505"
