"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"hours_employed_1","matrix",160,104,-1.20990186185804e-18,1,-2.06131363778422,-0.682316360939027,-0.22265060199063,0.696680915906165,4.37400698749334,37,"-0.22265060199063"
"industry","matrix",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_1","haven_labelled",163,101,1,0,1,1,1,1,1,1,"1"
"major_2","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_3","haven_labelled",11,253,1,0,1,1,1,1,1,1,"1"
"major_4","haven_labelled",9,255,1,0,1,1,1,1,1,1,"1"
"major_5","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_6","haven_labelled",8,256,1,0,1,1,1,1,1,1,"1"
"major_7","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_8","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_9","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_10","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_11","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_12","haven_labelled",5,259,1,0,1,1,1,1,1,1,"1"
"major_13","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_14","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_15","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"major_16","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_17","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"major_18","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_19","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_20","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"major_21","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_22","haven_labelled",12,252,1,0,1,1,1,1,1,1,"1"
"major_23","haven_labelled",51,213,1,0,1,1,1,1,1,1,"1"
"gpa","matrix",263,1,2.05300792572098e-16,1,-1.71786129948213,-0.769702806798394,-0.295623560456526,0.65253493222721,2.07477267125281,9,"-0.769702806798394"
"household_income","matrix",157,107,-5.11232400185362e-18,1,-1.44275222148678,-0.924417899350797,0.112250744921168,1.14891938919313,1.66725371132912,7,"1.14891938919313"
"mother_ed","matrix",264,0,-7.14881433590191e-17,1,-1.52473522449635,-0.875493128904356,-0.226251033312362,0.422991062279632,2.37071734905561,7,"-0.875493128904356"
"father_ed","matrix",264,0,2.05279718150333e-17,1,-1.30333871434084,-0.854146259267758,-0.404953804194674,0.493431105951493,1.84100847117074,8,"-0.854146259267758"
"research_type_1","matrix",264,0,-1.66119382920891e-16,1,-5.03028705729483,0.198042797531292,0.198042797531292,0.198042797531292,0.198042797531292,2,"0.198042797531292"
"research_type_2","matrix",264,0,-6.8769629616304e-17,1,-0.458486528849543,-0.458486528849543,-0.458486528849543,-0.458486528849543,2.1728274628087,2,"-0.458486528849543"
"research_type_3","matrix",264,0,3.02397949116004e-17,1,-0.754495904073753,-0.754495904073753,-0.754495904073753,1.32036783212907,1.32036783212907,2,"-0.754495904073753"
"research_type_4","matrix",264,0,4.71541701676565e-17,1,-0.587898472086598,-0.587898472086598,-0.587898472086598,1.69453089013196,1.69453089013196,2,"-0.587898472086598"
"research_type_5","matrix",264,0,7.39799602838509e-17,1,-0.70576629319206,-0.70576629319206,-0.70576629319206,1.41153258638412,1.41153258638412,2,"-0.70576629319206"
"research_type_6","matrix",264,0,-1.06047703630956e-16,1,-0.830472946389775,-0.830472946389775,-0.830472946389775,1.19957203367412,1.19957203367412,2,"-0.830472946389775"
"research_type_7","matrix",264,0,-1.0108172913486e-16,1,-0.72997098999189,-0.72997098999189,-0.72997098999189,1.36472837259353,1.36472837259353,2,"-0.72997098999189"
"research_type_8","matrix",264,0,6.61051206408927e-17,1,-0.500233321979065,-0.500233321979065,-0.500233321979065,-0.500233321979065,1.99149492335062,2,"-0.500233321979065"
"research_type_9","haven_labelled",264,0,0.371212121212121,0.484046678299386,0,0,0,1,1,2,"0"
"research_type_10","haven_labelled",264,0,0.215909090909091,0.412233007582623,0,0,0,0,1,2,"0"
"research_type_9updated","matrix",264,0,-9.32939542118133e-17,1,-0.870127124115328,-0.870127124115328,-0.870127124115328,1.14490411067806,1.14490411067806,2,"-0.870127124115328"
"research_type_10updated","matrix",264,0,2.44668290257562e-17,1,-0.570434850783929,-0.570434850783929,-0.570434850783929,-0.570434850783929,1.74640823547695,2,"-0.570434850783929"
"research_type_11","matrix",264,0,1.67829568109063e-17,1,-0.440264838088005,-0.440264838088005,-0.440264838088005,-0.440264838088005,2.26275649342905,2,"-0.440264838088005"
"research_type_12","matrix",264,0,5.55111512312578e-17,1,-0.681835016627182,-0.681835016627182,-0.681835016627182,1.46107503562968,1.46107503562968,2,"-0.681835016627182"
"research_type_13","matrix",264,0,-1.0107433684732e-16,1,-0.72997098999189,-0.72997098999189,-0.72997098999189,1.36472837259353,1.36472837259353,2,"-0.72997098999189"
"comp_importance","matrix",264,0,2.61257815544514e-17,1,-1.43241595697025,-0.559072278817487,0.314271399335274,0.314271399335274,2.0609587556408,5,"-0.559072278817487"
"comp_type_1","matrix",263,1,-5.62301050673091e-18,1,-0.621141063775312,-0.621141063775312,-0.621141063775312,0.34548674553183,3.24537017345326,5,"-0.621141063775312"
"comp_type_2","matrix",263,1,-1.77995490653388e-16,1,-1.87615747664727,-0.862955389669379,0.150246697308508,1.16344878428639,2.17665087126428,5,"-0.862955389669379"
"comp_type_3","matrix",263,1,4.36550912919998e-16,1,-2.92669653709346,-0.110643405670606,-0.110643405670606,0.828040971470345,0.828040971470345,5,"0.828040971470345"
"comp_type_4","matrix",263,1,2.01817432379338e-16,1,-1.244928021915,-1.244928021915,-0.446352242003671,1.15079931781899,1.94937509773032,5,"-0.446352242003671"
"comp_type_5","matrix",263,1,-1.59101515760097e-16,1,-2.50063790369295,-0.732713794361644,0.151248260304009,1.03521031496966,1.03521031496966,5,"1.03521031496966"
"select_reasonsaliva","matrix",166,98,-1.03319241967158e-17,1,-0.750230936144154,-0.750230936144154,-0.322264147828245,0.105702640487664,2.67350337038312,7,"-0.322264147828245"
"select_reasonsaliva_9_text","character",264,0,NA,NA,NA,NA,NA,NA,NA,4,""
"select_reasonblood","matrix",207,57,7.22916677540069e-17,1,-0.765361130643115,-0.765361130643115,-0.33130700997702,0.102747110689076,2.70707183468565,7,"-0.765361130643115"
"select_reasonblood_9_text","character",264,0,NA,NA,NA,NA,NA,NA,NA,14,""
"more_info","matrix",216,48,-1.49533565185561e-16,1,-1.79926581556832,-0.695170883287759,0.408924048992799,0.408924048992799,1.51301898127336,4,"0.408924048992799"
"more_info_updated","matrix",162,102,-1.94947581740097e-16,1,-1.58913174444281,-0.484241862040514,0.620648020361784,0.620648020361784,1.72553790276408,4,"0.620648020361784"
"more_compensation","matrix",214,50,-4.88549605106436e-17,1,-1.6201223268588,-0.651669315831474,0.316783695195855,0.316783695195855,1.28523670622319,4,"0.316783695195855"
"more_compensation_updated","matrix",209,55,1.94879374798536e-16,1,-1.61698558351579,-0.645864931346822,0.325255720822141,0.325255720822141,1.2963763729911,4,"0.325255720822141"
"hormone_reasoning","matrix",181,83,2.6535997923264e-17,1,-0.792083487988427,-0.792083487988427,-0.792083487988427,0.327972069245208,2.56808318371248,4,"-0.792083487988427"
"hormone_reasoning_updated","matrix",181,83,2.6535997923264e-17,1,-0.792083487988427,-0.792083487988427,-0.792083487988427,0.327972069245208,2.56808318371248,4,"-0.792083487988427"
"no_blood_sample","matrix",200,64,1.35577855366054e-16,1,-0.984600746432943,-0.984600746432943,-0.215381413282206,0.55383791986853,2.09227658617,5,"-0.984600746432943"
"no_blood_sample_updated","matrix",264,0,7.21975976215073e-17,1,-0.605657732304525,-0.605657732304525,-0.605207344808476,1.64560416669363,1.64560416669363,6,"-0.605657732304525"
"trust","matrix",264,0,-1.52655665885959e-16,1,-2.03930780561633,-0.696721120622037,-0.696721120622037,0.645865564372253,1.98845224936654,4,"-0.696721120622037"
"mental_origins","matrix",264,0,7.49922929941451e-17,1,-3.11349080209133,-0.400746340863241,-0.400746340863241,0.955625889750805,2.31199812036485,5,"-0.400746340863241"
"medical_origins","matrix",264,0,1.52655665885959e-16,1,-2.64646705605565,-0.841125188358773,0.0615457454896665,0.0615457454896665,1.86688761318655,5,"0.0615457454896665"
"concern_mental","matrix",264,0,-1.0183348370938e-16,1,-1.87380848317474,-0.860108811949061,0.153590859276618,1.1672905305023,3.19468987295366,5,"0.153590859276618"
"concern_medical","matrix",264,0,5.15644910503542e-17,1,-2.06694646695885,-1.04889820711345,-0.0308499472680425,0.987198312577361,3.02329483226817,5,"0.987198312577361"
"disorder_importance","matrix",264,0,-1.67774575136654e-16,1,-1.07091624084915,-1.07091624084915,-0.0237981386855368,1.02331996347807,2.07043806564168,4,"-1.07091624084915"
"feedback_mental","matrix",264,0,-1.52655665885959e-16,1,-1.18442383844061,-1.18442383844061,-0.327744678582198,1.38561364113464,1.38561364113464,4,"-1.18442383844061"
"feedback_medical","matrix",264,0,1.74915486398481e-16,1,-1.23991463579574,-1.23991463579574,-0.291110392752043,0.657693850291653,1.60649809333535,4,"-1.23991463579574"
"genetic_knowledge","matrix",264,0,7.06456279208168e-17,1,-1.59125998023632,-0.213907079310456,-0.213907079310456,1.16344582161541,2.54079872254128,4,"-0.213907079310456"
"a23and_me","matrix",264,0,-8.46687717159132e-17,1,-1.78912277507199,-0.902953145392804,-0.016783515713621,0.869386113965562,1.75555574364475,5,"-0.016783515713621"
"medical_condition_1_1","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_1_2","haven_labelled",33,231,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_3","haven_labelled",143,121,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_4","haven_labelled",102,162,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_1","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_2_2","haven_labelled",20,244,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_3","haven_labelled",106,158,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_4","haven_labelled",140,124,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_1","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_3_2","haven_labelled",48,216,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_3","haven_labelled",144,120,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_4","haven_labelled",86,178,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_1","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"medical_condition_4_2","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_4_3","haven_labelled",71,193,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_4","haven_labelled",189,75,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_1","haven_labelled",87,177,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_2","haven_labelled",95,169,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_3","haven_labelled",70,194,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_4","haven_labelled",92,172,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_1","haven_labelled",10,254,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_2","haven_labelled",38,226,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_3","haven_labelled",50,214,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_4","haven_labelled",182,82,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_1","haven_labelled",129,135,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_2","haven_labelled",106,158,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_3","haven_labelled",64,200,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_4","haven_labelled",71,193,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_1","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"medical_condition_8_2","haven_labelled",4,260,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_3","haven_labelled",20,244,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_4","haven_labelled",238,26,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_1","haven_labelled",8,256,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_2","haven_labelled",46,218,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_3","haven_labelled",84,180,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_4","haven_labelled",152,112,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_1","haven_labelled",47,217,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_2","haven_labelled",23,241,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_3","haven_labelled",21,243,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_4","haven_labelled",190,74,1,0,1,1,1,1,1,1,"1"
"q1_1","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"pswq_1","haven_labelled",264,0,2.27272727272727,1.11396874911562,1,1,2,3,5,5,"2"
"pswq_2","haven_labelled",264,0,3.63257575757576,1.2136107839515,1,3,4,5,5,5,"5"
"pswq_3","haven_labelled",264,0,2.04545454545455,1.09171533750981,1,1,2,3,5,5,"2"
"pswq_4","haven_labelled",264,0,3.46212121212121,1.21714809113191,1,3,4,5,5,5,"3"
"pswq_5","haven_labelled",264,0,3.57575757575758,1.25538361350332,1,3,4,5,5,5,"5"
"pswq_6","haven_labelled",264,0,3.67045454545455,1.16398676618009,1,3,4,5,5,5,"4"
"pswq_7","haven_labelled",264,0,3.3030303030303,1.31928886212983,1,2,3,4,5,5,"3"
"pswq_8","haven_labelled",264,0,2.37878787878788,1.113554941988,1,2,2,3,5,5,"2"
"pswq_9","haven_labelled",264,0,3.22727272727273,1.23689116660951,1,2,3,4,5,5,"3"
"pswq_10","haven_labelled",264,0,1.60984848484848,0.920436319785875,1,1,1,2,5,5,"1"
"pswq_11","haven_labelled",264,0,2.5530303030303,1.21657997187837,1,2,2,3,5,5,"3"
"pswq_12","haven_labelled",263,1,3.15969581749049,1.38598874187925,1,2,3,4,5,5,"3"
"pswq_13","haven_labelled",264,0,3.57954545454545,1.18983263266037,1,3,4,5,5,5,"4"
